QKEY,CAMP20MISINFO_W79,MISINFOSELF_W79,MISINFOIMPACT_a_W79,MISINFOIMPACT_b_W79,MISINFOIMPACT_c_W79
706958.0,Some,"No, I did not",A minor impact,A minor impact,Not much of an impact at all
706967.0,A lot,"No, I did not",A major impact,A major impact,A minor impact
706977.0,Some,"No, I did not",A minor impact,A minor impact,A minor impact
707092.0,Not much,"No, I did not",A major impact,A major impact,A major impact
707103.0,A lot,"No, I did not",A major impact,A major impact,A minor impact
707352.0,A lot,"No, I did not",A major impact,A major impact,A minor impact
707428.0,Some,"Yes, I did",A major impact,A major impact,A major impact
707466.0,Some,"No, I did not",A major impact,A major impact,Not much of an impact at all
707610.0,None at all,‘Did not see any made-up news’,A minor impact,A minor impact,A minor impact
707619.0,A lot,"Yes, I did",A major impact,A major impact,A major impact
707685.0,Some,"No, I did not",A major impact,Not much of an impact at all,Not much of an impact at all
707768.0,A lot,"No, I did not",A minor impact,A major impact,A minor impact
707793.0,Some,"No, I did not",A major impact,A minor impact,A major impact
707850.0,Some,"No, I did not",A major impact,A major impact,A minor impact
707861.0,Some,"No, I did not",A major impact,A major impact,A major impact
707980.0,None at all,‘Did not see any made-up news’,A minor impact,Not much of an impact at all,Not much of an impact at all
707994.0,A lot,"No, I did not",A major impact,A major impact,A minor impact
708084.0,A lot,"No, I did not",A major impact,A minor impact,A minor impact
